composition,phases,HV,yield_strength_MPa,ref,source
Al0.25Co0.5Cr0.5Cu0.5Fe0.5Ni0.5V1,BCC,587.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Cu1Fe1Ni1,FCC+BCC,472.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cu1Fe1Ni1,FCC+BCC,536.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cu1Fe1Ni1Si1,FCC+BCC,682.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cu1Fe1Ni1Ti1,FCC+BCC,626.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cu1Fe1Ni1Zr1,FCC+BCC,472.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Cu1Fe1Mn1Ni1,FCC+BCC,,1005.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Cu1Fe1Ni1,FCC+BCC,,1303.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Cu1Fe1Ni1Ti1,FCC+BCC,,1234.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Cu1Fe1Ni1V1,FCC+BCC,,1469.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Cu1Ni1Ti1Y1,FCC+BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Cu1Ni1Ti1Y0.5,FCC+BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Al1Co1Cr1Cu1Ni1Ti1Y0.8,FCC+BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cu1Fe1Ni1,FCC,,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cu1Fe1Ni1Sn0.02,FCC,,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cu1Fe1Ni1Sn0.04,FCC+BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cu1Fe1Ni1Sn0.05,FCC+BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cu1Fe1Ni1Sn0.07,FCC+BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cu1Fe1Ni1Sn0.1,FCC+BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cu1Fe1Ni1Sn0.2,FCC+BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cu1Fe1Ni1Sn0.5,FCC+BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cu1Fe1Mn1Ni1,FCC,208.0,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cu1Fe1Mn1Ni1Sn0.03,FCC,192.0,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cu1Fe1Mn1Ni1Sn0.05,FCC+BCC,205.0,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cu1Fe1Mn1Ni1Sn0.08,FCC+BCC,219.0,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cu1Fe1Mn1Ni1Sn0.1,FCC+BCC,253.0,,Kaggle-HEA-Dataset-2024,kaggle
Co1Cu1Fe1Mn1Ni1Sn0.2,FCC+BCC,319.0,,Kaggle-HEA-Dataset-2024,kaggle
Al1Cu0.889Fe0.667Ni0.889Ti1,FCC,516.0,980.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Cu0.889Fe0.667Ni0.889Ti1,FCC,516.0,980.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Cu1Fe1Ni1Ti1,FCC,516.0,1074.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Cu1Ni1Ti1,FCC,537.0,300.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Cu0.062Li0.062Mg0.062Zn0.062,FCC+BCC,,488.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Li0.062Mg0.062Sn0.062Zn0.062,FCC+BCC,,415.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Cu0.2Li0.5Mg1Zn0.5,FCC+BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Al1Cu0.5Li0.5Mg1Sn0.2,FCC+BCC,,,Kaggle-HEA-Dataset-2024,kaggle
Al1Li0.5Mg1Sn0.2Zn0.5,FCC+BCC,,546.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Li1Mg1Sn1Zn1,FCC+BCC,,600.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.3Hf1Nb1Ta1Ti1Zr1,BCC,353.0,1188.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Hf1Nb1Ta1Ti1Zr1,BCC,396.0,1302.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.75Hf1Nb1Ta1Ti1Zr1,BCC,427.0,1415.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Hf1Nb1Ta1Ti1Zr1,FCC+BCC,441.0,1489.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Nb1Ta1Ti1Zr1,BCC,295.0,1073.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.25Mo1Nb1Ti1V1,BCC,460.0,1250.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Mo1Nb1Ti1V1,BCC,487.0,1625.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.75Mo1Nb1Ti1V1,BCC,517.0,1260.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Mo1Nb1Ti1V1,BCC,537.0,1375.0,Kaggle-HEA-Dataset-2024,kaggle
Mo1Nb1Ti1V1,BCC,441.0,1200.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.25Nb1Ta1Ti1V1,BCC,,1330.0,Kaggle-HEA-Dataset-2024,kaggle
Al0.5Nb1Ta1Ti1V1,BCC,,1014.0,Kaggle-HEA-Dataset-2024,kaggle
Al1Nb1Ta1Ti1V1,BCC,,993.0,Kaggle-HEA-Dataset-2024,kaggle
Nb1Ta1Ti1V1,BCC,,1092.0,Kaggle-HEA-Dataset-2024,kaggle
Hf0.5Mo0.5Nb1Ti1Zr1,BCC,,1176.0,Kaggle-HEA-Dataset-2024,kaggle
C0.1Hf0.5Mo0.5Nb1Ti1Zr1,FCC+BCC,,1183.0,Kaggle-HEA-Dataset-2024,kaggle
C0.3Hf0.5Mo0.5Nb1Ti1Zr1,FCC+BCC,,1201.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Mo0.25Nb1Ta1Ti1Zr1,BCC,395.0,1112.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Mo0.5Nb1Ta1Ti1Zr1,BCC,480.0,1317.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Mo0.75Nb1Ta1Ti1Zr1,BCC,492.0,1373.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Mo1Nb1Ta1Ti1Zr1,BCC,505.0,1512.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Nb1Ta1Ti1Zr1,BCC,335.0,1015.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Mo1Nb1Ta1Ti1Zr1,BCC,505.0,1512.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Mo1Ta1Ti1Zr1,BCC,542.0,1600.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Mo1Nb1Ti1Zr1,BCC,,1719.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Nb1Si0.5Ti1V1,FCC+BCC,490.0,1399.0,Kaggle-HEA-Dataset-2024,kaggle
Hf0.333Nb0.333Ta0.333Ti1Zr0.667,BCC,301.0,903.0,Kaggle-HEA-Dataset-2024,kaggle
Hf1Nb1Ti1Zr1,BCC,,879.0,Kaggle-HEA-Dataset-2024,kaggle
Mo1Nb1Ta1V1W1,BCC,536.0,1246.0,Kaggle-HEA-Dataset-2024,kaggle
Mo1Nb1Ta1W1,BCC,454.0,1058.0,Kaggle-HEA-Dataset-2024,kaggle
Mo1Nb1Ti1V0.25Zr1,BCC,,1776.0,Kaggle-HEA-Dataset-2024,kaggle
Mo1Nb1Ti1V0.5Zr1,BCC,,1647.0,Kaggle-HEA-Dataset-2024,kaggle
Mo1Nb1Ti1V0.75Zr1,BCC,,1708.0,Kaggle-HEA-Dataset-2024,kaggle
Mo1Nb1Ti1V1Zr1,BCC,,1786.0,Kaggle-HEA-Dataset-2024,kaggle
